Yt	Mt	Ht	Ut	Epst
10.0947	10	0.5	0.0946948	0.133919
9.93737	10	0.50538	-0.0626311	-0.088101
11.1884	10	0.503743	1.18841	1.67441
10.852	10	1.34866	0.851991	0.733641
11.0721	10	1.15511	1.0721	0.997525
8.48463	10	1.40706	-1.51537	-1.2775
6.47002	10	2.16926	-3.52998	-2.39672
8.02138	10	8.48453	-1.97862	-0.67928
9.91223	10	5.04079	-0.0877667	-0.0390913
11.3215	10	2.18711	1.32147	0.893556
9.97233	10	2.45868	-0.0276721	-0.0176478
8.51011	10	1.32047	-1.48989	-1.29656
8.98466	10	2.31045	-1.01534	-0.667981
10.2414	10	1.76499	0.241405	0.181709
10.8545	10	1.05733	0.854539	0.831051
9.38708	10	1.24985	-0.612923	-0.548248
9.35105	10	1.03451	-0.648948	-0.638032
10.0071	10	0.994101	0.00706759	0.00708853
9.43493	10	0.711623	-0.565073	-0.669854
9.25099	10	0.818777	-0.749012	-0.827762
10.6032	10	0.969767	0.60317	0.6125
9.65383	10	0.886841	-0.346166	-0.367588
9.75348	10	0.725175	-0.246524	-0.289493
9.26335	10	0.645503	-0.736646	-0.916875
9.4449	10	0.904064	-0.555095	-0.583805
10.0586	10	0.821564	0.0585674	0.0646153
10.0371	10	0.628258	0.0370505	0.0467439
9.42994	10	0.576608	-0.570062	-0.750727
9.87537	10	0.746627	-0.124628	-0.144233
11.1407	10	0.597622	1.1407	1.47556
9.76127	10	1.33684	-0.238734	-0.206479
9.77048	10	0.775144	-0.229524	-0.260697
9.88713	10	0.666861	-0.112871	-0.138218
8.03097	10	0.599343	-1.96903	-2.5434
10.9815	10	2.88926	0.981486	0.577419
9.95259	10	1.72399	-0.0474126	-0.0361099
9.77702	10	0.971957	-0.222979	-0.226173
10.6363	10	0.792006	0.636314	0.715002
11.5084	10	0.91455	1.50837	1.57727
9.4396	10	2.04091	-0.560404	-0.392274
11.2682	10	1.14961	1.26816	1.18277
12.3761	10	1.75597	2.37611	1.79311
8.48185	10	4.30909	-1.51815	-0.731346
8.91106	10	2.98934	-1.08894	-0.629818
13.0233	10	2.13177	3.02334	2.07069
7.66722	10	6.67367	-2.33278	-0.903006
14.1002	10	5.58127	4.10018	1.73555
14.8626	10	12.3604	4.86258	1.38309
8.39649	10	18.2487	-1.60351	-0.375367
9.16475	10	7.53352	-0.835248	-0.30431
12.5533	10	4.14868	2.55331	1.25357
9.30783	10	6.38877	-0.692172	-0.273845
9.9195	10	3.01924	-0.0805017	-0.0463294
11.0877	10	1.85337	1.08772	0.798982
10.7732	10	2.05075	0.773241	0.539956
10.1084	10	1.59436	0.108402	0.0858503
11.3969	10	1.06229	1.39686	1.35529
10.0197	10	2.02828	0.0197261	0.0138509
10.7689	10	1.04711	0.768857	0.751364
8.29365	10	1.17389	-1.70635	-1.57491
9.62088	10	2.55081	-0.379123	-0.237378
10.3736	10	1.2329	0.373626	0.336491
9.92197	10	0.961013	-0.0780326	-0.0795997
9.52696	10	0.764898	-0.473038	-0.540872
8.75535	10	0.812954	-1.24465	-1.38043
12.1684	10	1.5957	2.16836	1.71655
10.8022	10	3.68074	0.802158	0.418112
12.0595	10	1.8239	2.05948	1.52496
11.3091	10	3.63681	1.30914	0.686476
9.06193	10	2.54036	-0.93807	-0.588556
11.7884	10	1.84465	1.78838	1.31675
8.54988	10	3.03063	-1.45012	-0.832984
11.2559	10	2.63327	1.25593	0.77396
8.79111	10	2.26352	-1.20889	-0.803515
9.87636	10	2.09455	-0.12364	-0.0854303
11.6128	10	1.16199	1.61284	1.4962
10.6232	10	2.45457	0.623184	0.397767
13.9499	10	1.39984	3.94986	3.33843
15.7805	10	10.3021	5.78045	1.80094
18.4678	10	23.2466	8.46785	1.75628
14.7222	10	50.0519	4.7222	0.667474
4.41657	10	28.2673	-5.58343	-1.05017
11.8007	10	29.8875	1.80065	0.329371
11.6505	10	13.1535	1.65048	0.455081
3.14421	10	8.5327	-6.85579	-2.34701
6.47437	10	32.9821	-3.52563	-0.613899
0.848619	10	17.9202	-9.15138	-2.1618
2.37977	10	57.9123	-7.62023	-1.00134
6.65352	10	52.4069	-3.34648	-0.462268
5.914	10	24.9779	-4.086	-0.817561
10.86	10	21.7534	0.860015	0.184392
8.74454	10	10.1064	-1.25546	-0.394917
5.59812	10	6.95143	-4.40188	-1.66956
6.23533	10	15.8655	-3.76467	-0.945148
10.0136	10	14.445	0.0135683	0.00356999
12.7804	10	5.78756	2.7804	1.15574
15.3639	10	8.16271	5.36391	1.87743
10.5129	10	20.8961	0.512887	0.112199
10.4796	10	7.00375	0.479574	0.181213
12.5778	10	4.06671	2.57784	1.2783
11.4719	10	6.64311	1.47186	0.571058
9.02754	10	4.26451	-0.972456	-0.470908
10.7899	10	2.90605	0.789893	0.463358
12.9979	10	2.20837	2.99786	2.01733
15.6473	10	6.90107	5.64725	2.1497
8.2694	10	21.7497	-1.7306	-0.371083
7.83489	10	8.46206	-2.16511	-0.744291
6.61943	10	6.96738	-3.38057	-1.28072
5.55114	10	10.2637	-4.44886	-1.38866
8.47325	10	15.9347	-1.52675	-0.382469
13.9266	10	7.02658	3.92664	1.48132
5.21038	10	12.9363	-4.78962	-1.33167
5.47621	10	18.6229	-4.52379	-1.04828
9.37648	10	18.8081	-0.623516	-0.143772
10.4856	10	7.20859	0.485582	0.180858
14.8426	10	4.3014	4.84258	2.33492
11.4464	10	16.9145	1.44644	0.351699
10.9806	10	6.97117	0.980636	0.371411
8.51129	10	4.26208	-1.48871	-0.721106
13.435	10	3.95722	3.43505	1.72678
8.88943	10	9.33906	-1.11057	-0.363406
13.9183	10	4.24331	3.91834	1.90217
11.3899	10	11.6295	1.38993	0.40758
7.69841	10	5.28205	-2.30159	-1.00144
10.7005	10	5.99968	0.7005	0.285986
9.41068	10	3.07643	-0.589321	-0.335992
11.3434	10	2.19253	1.34343	0.907279
12.1421	10	2.65079	2.14215	1.31571
11.6487	10	4.30834	1.64868	0.794294
9.25159	10	3.57748	-0.74841	-0.395686
10.8426	10	2.16437	0.84259	0.57273
9.13179	10	1.87268	-0.868212	-0.634445
9.29432	10	1.7371	-0.70568	-0.535421
10.9344	10	1.49508	0.934358	0.764155
10.2459	10	1.62322	0.245938	0.193035
9.51467	10	1.13721	-0.485334	-0.455114
10.5147	10	1.10767	0.514727	0.48907
9.51343	10	1.08346	-0.486569	-0.467454
10.0418	10	1.04225	0.0418363	0.0409796
10.4732	10	0.878762	0.473221	0.50481
12.7698	10	0.960381	2.76981	2.82636
8.45745	10	5.43479	-1.54255	-0.661678
8.80876	10	3.411	-1.19124	-0.644996
12.826	10	2.56157	2.82595	1.76568
13.7902	10	6.26995	3.79023	1.51368
11.1345	10	11.0092	1.13449	0.341917
9.83281	10	4.57831	-0.167193	-0.0781385
9.72109	10	2.5063	-0.278907	-0.176174
6.77285	10	1.78461	-3.22715	-2.41573
7.34867	10	7.60866	-2.65133	-0.961192
9.94994	10	6.95861	-0.0500641	-0.0189786
9.92996	10	2.84374	-0.0700412	-0.0415345
9.81773	10	1.85008	-0.182271	-0.134006
10.139	10	1.41209	0.138972	0.116949
10.7467	10	1.15582	0.746661	0.69451
9.22427	10	1.32573	-0.775728	-0.673723
