Yt	Mt	Ht	Ut	Epst
0.000427323	0	1	0.000427323	0.000427323
-0.688956	0	1	-0.688956	-0.688956
-0.514754	0	1	-0.514754	-0.514754
0.0735163	0	1	0.0735163	0.0735163
2.08819	0	1	2.08819	2.08819
0.541059	0	1	0.541059	0.541059
-0.825228	0	1	-0.825228	-0.825228
2.67609	0	1	2.67609	2.67609
-2.49556	0	1	-2.49556	-2.49556
-0.484524	0	1	-0.484524	-0.484524
-0.0517689	0	1	-0.0517689	-0.0517689
-0.406541	0	1	-0.406541	-0.406541
1.51648	0	1	1.51648	1.51648
0.914182	0	1	0.914182	0.914182
1.74511	0	1	1.74511	1.74511
-0.743642	0	1	-0.743642	-0.743642
-0.111237	0	1	-0.111237	-0.111237
0.65893	0	1	0.65893	0.65893
0.70237	0	1	0.70237	0.70237
0.760924	0	1	0.760924	0.760924
-0.247361	0	1	-0.247361	-0.247361
-0.44425	0	1	-0.44425	-0.44425
-0.150488	0	1	-0.150488	-0.150488
1.9492	0	1	1.9492	1.9492
-0.72601	0	1	-0.72601	-0.72601
-0.500881	0	1	-0.500881	-0.500881
-0.2734	0	1	-0.2734	-0.2734
0.813713	0	1	0.813713	0.813713
-1.76512	0	1	-1.76512	-1.76512
-0.805977	0	1	-0.805977	-0.805977
-0.375391	0	1	-0.375391	-0.375391
0.604373	0	1	0.604373	0.604373
-0.320962	0	1	-0.320962	-0.320962
1.12808	0	1	1.12808	1.12808
0.765381	0	1	0.765381	0.765381
-0.164361	0	1	-0.164361	-0.164361
-0.17473	0	1	-0.17473	-0.17473
-2.46711	0	1	-2.46711	-2.46711
0.486892	0	1	0.486892	0.486892
0.033013	0	1	0.033013	0.033013
0.341649	0	1	0.341649	0.341649
0.593124	0	1	0.593124	0.593124
-1.26072	0	1	-1.26072	-1.26072
-0.977835	0	1	-0.977835	-0.977835
1.22963	0	1	1.22963	1.22963
-0.282236	0	1	-0.282236	-0.282236
-0.803747	0	1	-0.803747	-0.803747
-0.54749	0	1	-0.54749	-0.54749
-1.7555	0	1	-1.7555	-1.7555
1.02631	0	1	1.02631	1.02631
1.81126	0	1	1.81126	1.81126
1.03906	0	1	1.03906	1.03906
-0.176662	0	1	-0.176662	-0.176662
-0.100109	0	1	-0.100109	-0.100109
-0.23914	0	1	-0.23914	-0.23914
-0.370602	0	1	-0.370602	-0.370602
0.919868	0	1	0.919868	0.919868
-0.398074	0	1	-0.398074	-0.398074
-0.251021	0	1	-0.251021	-0.251021
-1.14436	0	1	-1.14436	-1.14436
-0.365671	0	1	-0.365671	-0.365671
-1.76364	0	1	-1.76364	-1.76364
0.00857184	0	1	0.00857184	0.00857184
-0.593093	0	1	-0.593093	-0.593093
1.55918	0	1	1.55918	1.55918
-0.399657	0	1	-0.399657	-0.399657
-0.230839	0	1	-0.230839	-0.230839
-0.0473076	0	1	-0.0473076	-0.0473076
0.348931	0	1	0.348931	0.348931
1.25085	0	1	1.25085	1.25085
-1.42594	0	1	-1.42594	-1.42594
0.301834	0	1	0.301834	0.301834
-0.14694	0	1	-0.14694	-0.14694
0.0323858	0	1	0.0323858	0.0323858
-0.429906	0	1	-0.429906	-0.429906
0.976521	0	1	0.976521	0.976521
1.25286	0	1	1.25286	1.25286
0.521217	0	1	0.521217	0.521217
-0.544512	0	1	-0.544512	-0.544512
0.0674044	0	1	0.0674044	0.0674044
-0.922326	0	1	-0.922326	-0.922326
0.251647	0	1	0.251647	0.251647
-0.333338	0	1	-0.333338	-0.333338
1.27947	0	1	1.27947	1.27947
1.22411	0	1	1.22411	1.22411
-2.12302	0	1	-2.12302	-2.12302
1.51619	0	1	1.51619	1.51619
0.0799697	0	1	0.0799697	0.0799697
-0.679469	0	1	-0.679469	-0.679469
-0.755135	0	1	-0.755135	-0.755135
-0.761834	0	1	-0.761834	-0.761834
0.299453	0	1	0.299453	0.299453
2.12623	0	1	2.12623	2.12623
-0.457349	0	1	-0.457349	-0.457349
-0.717276	0	1	-0.717276	-0.717276
-0.544859	0	1	-0.544859	-0.544859
-1.98997	0	1	-1.98997	-1.98997
-1.75633	0	1	-1.75633	-1.75633
0.407681	0	1	0.407681	0.407681
-0.688621	0	1	-0.688621	-0.688621
0.113587	0	1	0.113587	0.113587
-0.257357	0	1	-0.257357	-0.257357
-1.32663	0	1	-1.32663	-1.32663
0.655475	0	1	0.655475	0.655475
0.784921	0	1	0.784921	0.784921
-0.223531	0	1	-0.223531	-0.223531
0.838412	0	1	0.838412	0.838412
0.0343736	0	1	0.0343736	0.0343736
1.79311	0	1	1.79311	1.79311
0.0773671	0	1	0.0773671	0.0773671
0.508274	0	1	0.508274	0.508274
0.947857	0	1	0.947857	0.947857
-0.326134	0	1	-0.326134	-0.326134
0.0837993	0	1	0.0837993	0.0837993
1.18523	0	1	1.18523	1.18523
0.0247791	0	1	0.0247791	0.0247791
1.85135	0	1	1.85135	1.85135
0.793289	0	1	0.793289	0.793289
1.57742	0	1	1.57742	1.57742
1.06321	0	1	1.06321	1.06321
-0.482425	0	1	-0.482425	-0.482425
-3.92553	0	1	-3.92553	-3.92553
0.611827	0	1	0.611827	0.611827
-1.49235	0	1	-1.49235	-1.49235
-1.72332	0	1	-1.72332	-1.72332
1.54618	0	1	1.54618	1.54618
-0.835097	0	1	-0.835097	-0.835097
-0.13182	0	1	-0.13182	-0.13182
-0.250496	0	1	-0.250496	-0.250496
-0.258378	0	1	-0.258378	-0.258378
-0.625239	0	1	-0.625239	-0.625239
1.41638	0	1	1.41638	1.41638
1.8358	0	1	1.8358	1.8358
1.58387	0	1	1.58387	1.58387
1.37488	0	1	1.37488	1.37488
-0.895693	0	1	-0.895693	-0.895693
0.218407	0	1	0.218407	0.218407
1.33889	0	1	1.33889	1.33889
-0.0205319	0	1	-0.0205319	-0.0205319
-0.627994	0	1	-0.627994	-0.627994
4.52965e-05	0	1	4.52965e-05	4.52965e-05
1.16148	0	1	1.16148	1.16148
-0.0991905	0	1	-0.0991905	-0.0991905
-1.15446	0	1	-1.15446	-1.15446
0.490891	0	1	0.490891	0.490891
-0.969154	0	1	-0.969154	-0.969154
-0.487364	0	1	-0.487364	-0.487364
-1.341	0	1	-1.341	-1.341
0.390855	0	1	0.390855	0.390855
-0.222412	0	1	-0.222412	-0.222412
0.337784	0	1	0.337784	0.337784
-0.602242	0	1	-0.602242	-0.602242
0.30247	0	1	0.30247	0.30247
-0.0571175	0	1	-0.0571175	-0.0571175
-0.4051	0	1	-0.4051	-0.4051
-0.0364318	0	1	-0.0364318	-0.0364318
0.385945	0	1	0.385945	0.385945
-2.7281	0	1	-2.7281	-2.7281
0.47708	0	1	0.47708	0.47708
0.760957	0	1	0.760957	0.760957
1.82809	0	1	1.82809	1.82809
-1.16918	0	1	-1.16918	-1.16918
-0.0792307	0	1	-0.0792307	-0.0792307
0.215422	0	1	0.215422	0.215422
0.0659747	0	1	0.0659747	0.0659747
-0.253606	0	1	-0.253606	-0.253606
-2.25293	0	1	-2.25293	-2.25293
-0.668582	0	1	-0.668582	-0.668582
0.0786965	0	1	0.0786965	0.0786965
0.0923826	0	1	0.0923826	0.0923826
-0.0111668	0	1	-0.0111668	-0.0111668
0.872844	0	1	0.872844	0.872844
-0.202431	0	1	-0.202431	-0.202431
0.205073	0	1	0.205073	0.205073
0.170408	0	1	0.170408	0.170408
0.542681	0	1	0.542681	0.542681
2.249	0	1	2.249	2.249
-0.287739	0	1	-0.287739	-0.287739
-0.119578	0	1	-0.119578	-0.119578
0.119287	0	1	0.119287	0.119287
1.69387	0	1	1.69387	1.69387
1.01883	0	1	1.01883	1.01883
-0.0831247	0	1	-0.0831247	-0.0831247
0.702385	0	1	0.702385	0.702385
1.2886	0	1	1.2886	1.2886
0.435717	0	1	0.435717	0.435717
0.284911	0	1	0.284911	0.284911
-0.126953	0	1	-0.126953	-0.126953
0.20452	0	1	0.20452	0.20452
-0.125347	0	1	-0.125347	-0.125347
0.493414	0	1	0.493414	0.493414
-0.52373	0	1	-0.52373	-0.52373
0.112462	0	1	0.112462	0.112462
1.57333	0	1	1.57333	1.57333
0.517807	0	1	0.517807	0.517807
1.25899	0	1	1.25899	1.25899
1.03098	0	1	1.03098	1.03098
0.586844	0	1	0.586844	0.586844
-1.29705	0	1	-1.29705	-1.29705
0.148807	0	1	0.148807	0.148807
-1.83958	0	1	-1.83958	-1.83958
0.920023	0	1	0.920023	0.920023
0.912164	0	1	0.912164	0.912164
0.330866	0	1	0.330866	0.330866
-2.03971	0	1	-2.03971	-2.03971
-1.08798	0	1	-1.08798	-1.08798
0.150065	0	1	0.150065	0.150065
0.768548	0	1	0.768548	0.768548
1.11296	0	1	1.11296	1.11296
-0.535148	0	1	-0.535148	-0.535148
0.716225	0	1	0.716225	0.716225
-3.4765	0	1	-3.4765	-3.4765
-1.0244	0	1	-1.0244	-1.0244
0.176134	0	1	0.176134	0.176134
0.376575	0	1	0.376575	0.376575
-0.628711	0	1	-0.628711	-0.628711
0.565692	0	1	0.565692	0.565692
-0.884063	0	1	-0.884063	-0.884063
0.337738	0	1	0.337738	0.337738
-0.856189	0	1	-0.856189	-0.856189
-0.175063	0	1	-0.175063	-0.175063
0.270319	0	1	0.270319	0.270319
0.0254602	0	1	0.0254602	0.0254602
0.347075	0	1	0.347075	0.347075
0.0687303	0	1	0.0687303	0.0687303
0.269905	0	1	0.269905	0.269905
-0.904026	0	1	-0.904026	-0.904026
-1.94254	0	1	-1.94254	-1.94254
-0.971964	0	1	-0.971964	-0.971964
-0.83418	0	1	-0.83418	-0.83418
-3.23951	0	1	-3.23951	-3.23951
-0.499669	0	1	-0.499669	-0.499669
-0.704644	0	1	-0.704644	-0.704644
-0.183084	0	1	-0.183084	-0.183084
-0.793278	0	1	-0.793278	-0.793278
-1.26106	0	1	-1.26106	-1.26106
0.220787	0	1	0.220787	0.220787
-1.0198	0	1	-1.0198	-1.0198
0.797279	0	1	0.797279	0.797279
-1.07145	0	1	-1.07145	-1.07145
-0.424782	0	1	-0.424782	-0.424782
0.592215	0	1	0.592215	0.592215
-0.558377	0	1	-0.558377	-0.558377
0.211919	0	1	0.211919	0.211919
2.2852	0	1	2.2852	2.2852
-0.820335	0	1	-0.820335	-0.820335
-0.0335993	0	1	-0.0335993	-0.0335993
-1.62408	0	1	-1.62408	-1.62408
0.0207384	0	1	0.0207384	0.0207384
0.201608	0	1	0.201608	0.201608
-1.5979	0	1	-1.5979	-1.5979
-2.85077	0	1	-2.85077	-2.85077
-0.163756	0	1	-0.163756	-0.163756
-0.0404007	0	1	-0.0404007	-0.0404007
2.29379	0	1	2.29379	2.29379
0.232492	0	1	0.232492	0.232492
0.213769	0	1	0.213769	0.213769
-0.203217	0	1	-0.203217	-0.203217
0.312751	0	1	0.312751	0.312751
0.112046	0	1	0.112046	0.112046
1.05475	0	1	1.05475	1.05475
-0.131412	0	1	-0.131412	-0.131412
-0.0727737	0	1	-0.0727737	-0.0727737
0.104751	0	1	0.104751	0.104751
0.489209	0	1	0.489209	0.489209
0.145544	0	1	0.145544	0.145544
-0.395665	0	1	-0.395665	-0.395665
0.0288719	0	1	0.0288719	0.0288719
-0.0316544	0	1	-0.0316544	-0.0316544
-1.03866	0	1	-1.03866	-1.03866
0.610886	0	1	0.610886	0.610886
-0.713825	0	1	-0.713825	-0.713825
0.0319497	0	1	0.0319497	0.0319497
0.0544892	0	1	0.0544892	0.0544892
-2.59534	0	1	-2.59534	-2.59534
-1.17627	0	1	-1.17627	-1.17627
1.89106	0	1	1.89106	1.89106
-0.544803	0	1	-0.544803	-0.544803
-0.474461	0	1	-0.474461	-0.474461
0.576575	0	1	0.576575	0.576575
-2.5239	0	1	-2.5239	-2.5239
0.229221	0	1	0.229221	0.229221
2.02962	0	1	2.02962	2.02962
0.453973	0	1	0.453973	0.453973
0.612304	0	1	0.612304	0.612304
-0.763693	0	1	-0.763693	-0.763693
1.60794	0	1	1.60794	1.60794
1.02794	0	1	1.02794	1.02794
-0.724986	0	1	-0.724986	-0.724986
-0.812959	0	1	-0.812959	-0.812959
1.64545	0	1	1.64545	1.64545
-0.281965	0	1	-0.281965	-0.281965
1.26833	0	1	1.26833	1.26833
-0.957088	0	1	-0.957088	-0.957088
0.32339	0	1	0.32339	0.32339
-0.0516619	0	1	-0.0516619	-0.0516619
-0.238581	0	1	-0.238581	-0.238581
0.239801	0	1	0.239801	0.239801
0.196579	0	1	0.196579	0.196579
0.222915	0	1	0.222915	0.222915
-0.531349	0	1	-0.531349	-0.531349
-0.732362	0	1	-0.732362	-0.732362
0.116065	0	1	0.116065	0.116065
-0.994085	0	1	-0.994085	-0.994085
1.04003	0	1	1.04003	1.04003
-0.916637	0	1	-0.916637	-0.916637
-0.817402	0	1	-0.817402	-0.817402
-0.181663	0	1	-0.181663	-0.181663
-0.886183	0	1	-0.886183	-0.886183
0.223306	0	1	0.223306	0.223306
