Yt	Mt	Ht	Ut	Epst
0.000458795	0	1	0.000458795	0.000458795
-0.739696	0	1	-0.739696	-0.739696
-0.552665	0	1	-0.552665	-0.552665
0.0789307	0	1	0.0789307	0.0789307
0.580907	0	1	0.580907	0.580907
-0.886005	0	1	-0.886005	-0.886005
2.87318	0	1	2.87318	2.87318
-2.67936	0	1	-2.67936	-2.67936
-0.520209	0	1	-0.520209	-0.520209
-0.0555816	0	1	-0.0555816	-0.0555816
0.98151	0	1	0.98151	0.98151
1.87364	0	1	1.87364	1.87364
-0.798411	0	1	-0.798411	-0.798411
-0.11943	0	1	-0.11943	-0.11943
0.707459	0	1	0.707459	0.707459
0.754099	0	1	0.754099	0.754099
0.816965	0	1	0.816965	0.816965
-0.265579	0	1	-0.265579	-0.265579
-0.476969	0	1	-0.476969	-0.476969
-0.161572	0	1	-0.161572	-0.161572
2.09275	0	1	2.09275	2.09275
-0.77948	0	1	-0.77948	-0.77948
-0.537771	0	1	-0.537771	-0.537771
-0.293536	0	1	-0.293536	-0.293536
0.873642	0	1	0.873642	0.873642
-1.89512	0	1	-1.89512	-1.89512
-0.865336	0	1	-0.865336	-0.865336
-0.403038	0	1	-0.403038	-0.403038
0.648885	0	1	0.648885	0.648885
-0.3446	0	1	-0.3446	-0.3446
1.21116	0	1	1.21116	1.21116
0.82175	0	1	0.82175	0.82175
-0.176466	0	1	-0.176466	-0.176466
-0.187598	0	1	-0.187598	-0.187598
-2.64881	0	1	-2.64881	-2.64881
0.52275	0	1	0.52275	0.52275
0.0354444	0	1	0.0354444	0.0354444
0.366811	0	1	0.366811	0.366811
0.636807	0	1	0.636807	0.636807
-1.35357	0	1	-1.35357	-1.35357
-1.04985	0	1	-1.04985	-1.04985
1.32019	0	1	1.32019	1.32019
-0.303023	0	1	-0.303023	-0.303023
-0.862942	0	1	-0.862942	-0.862942
-0.587812	0	1	-0.587812	-0.587812
-1.88479	0	1	-1.88479	-1.88479
1.10189	0	1	1.10189	1.10189
1.94466	0	1	1.94466	1.94466
1.11559	0	1	1.11559	1.11559
-0.189672	0	1	-0.189672	-0.189672
-0.256752	0	1	-0.256752	-0.256752
-0.397897	0	1	-0.397897	-0.397897
0.987615	0	1	0.987615	0.987615
-0.427391	0	1	-0.427391	-0.427391
-0.269509	0	1	-0.269509	-0.269509
-1.22864	0	1	-1.22864	-1.22864
-0.392602	0	1	-0.392602	-0.392602
0.00920314	0	1	0.00920314	0.00920314
-0.636774	0	1	-0.636774	-0.636774
1.67401	0	1	1.67401	1.67401
-0.429092	0	1	-0.429092	-0.429092
-0.24784	0	1	-0.24784	-0.24784
-0.0507917	0	1	-0.0507917	-0.0507917
0.37463	0	1	0.37463	0.37463
1.34297	0	1	1.34297	1.34297
-1.53095	0	1	-1.53095	-1.53095
0.324063	0	1	0.324063	0.324063
-0.157762	0	1	-0.157762	-0.157762
0.034771	0	1	0.034771	0.034771
-0.461568	0	1	-0.461568	-0.461568
1.04844	0	1	1.04844	1.04844
1.34513	0	1	1.34513	1.34513
0.559604	0	1	0.559604	0.559604
-0.584614	0	1	-0.584614	-0.584614
0.0723687	0	1	0.0723687	0.0723687
-0.990254	0	1	-0.990254	-0.990254
0.27018	0	1	0.27018	0.27018
-0.357888	0	1	-0.357888	-0.357888
1.3737	0	1	1.3737	1.3737
1.62786	0	1	1.62786	1.62786
0.0858594	0	1	0.0858594	0.0858594
-0.729511	0	1	-0.729511	-0.729511
-0.81075	0	1	-0.81075	-0.81075
-0.817942	0	1	-0.817942	-0.817942
0.321508	0	1	0.321508	0.321508
2.28282	0	1	2.28282	2.28282
-0.491033	0	1	-0.491033	-0.491033
-0.770103	0	1	-0.770103	-0.770103
-0.584987	0	1	-0.584987	-0.584987
-2.13652	0	1	-2.13652	-2.13652
-1.88568	0	1	-1.88568	-1.88568
0.437706	0	1	0.437706	0.437706
-0.739338	0	1	-0.739338	-0.739338
0.121953	0	1	0.121953	0.121953
-0.276312	0	1	-0.276312	-0.276312
-1.42433	0	1	-1.42433	-1.42433
0.70375	0	1	0.70375	0.70375
0.842729	0	1	0.842729	0.842729
-0.239993	0	1	-0.239993	-0.239993
0.90016	0	1	0.90016	0.90016

