Yt	Mt	Ht	Ut	Epst
5.65893	0	1	5.65893	5.65893
-0.913326	0	1	-0.913326	-0.913326
-0.625191	0	1	-0.625191	-0.625191
1.7753	0	1	1.7753	1.7753
-0.7405	0	1	-0.7405	-0.7405
-0.17146	0	1	-0.17146	-0.17146
1.92882	0	1	1.92882	1.92882
0.545317	0	1	0.545317	0.545317
-0.0395665	0	1	-0.0395665	-0.0395665
0.530141	0	1	0.530141	0.530141
0.601437	0	1	0.601437	0.601437
0.274088	0	1	0.274088	0.274088
-0.552374	0	1	-0.552374	-0.552374
0.777513	0	1	0.777513	0.777513
-0.0890921	0	1	-0.0890921	-0.0890921
-0.897812	0	1	-0.897812	-0.897812
-0.193503	0	1	-0.193503	-0.193503
-0.382694	0	1	-0.382694	-0.382694
-0.763983	0	1	-0.763983	-0.763983
-0.784243	0	1	-0.784243	-0.784243
-1.53006	0	1	-1.53006	-1.53006
-0.512934	0	1	-0.512934	-0.512934
-0.831093	0	1	-0.831093	-0.831093
1.72961	0	1	1.72961	1.72961
0.0604838	0	1	0.0604838	0.0604838
1.29565	0	1	1.29565	1.29565
0.294228	0	1	0.294228	0.294228
-0.139361	0	1	-0.139361	-0.139361
0.0115112	0	1	0.0115112	0.0115112
-0.86142	0	1	-0.86142	-0.86142
-0.594467	0	1	-0.594467	-0.594467
-1.05245	0	1	-1.05245	-1.05245
-1.28557	0	1	-1.28557	-1.28557
0.244006	0	1	0.244006	0.244006
0.480733	0	1	0.480733	0.480733
0.213118	0	1	0.213118	0.213118
0.442811	0	1	0.442811	0.442811
-1.11726	0	1	-1.11726	-1.11726
0.396219	0	1	0.396219	0.396219
-1.08635	0	1	-1.08635	-1.08635
-1.01324	0	1	-1.01324	-1.01324
-0.130373	0	1	-0.130373	-0.130373
-0.797354	0	1	-0.797354	-0.797354
-0.611271	0	1	-0.611271	-0.611271
-1.18511	0	1	-1.18511	-1.18511
-1.01684	0	1	-1.01684	-1.01684
-0.0215101	0	1	-0.0215101	-0.0215101
-1.18893	0	1	-1.18893	-1.18893
-0.604137	0	1	-0.604137	-0.604137
1.24743	0	1	1.24743	1.24743
-0.751122	0	1	-0.751122	-0.751122
-0.293789	0	1	-0.293789	-0.293789
-0.977446	0	1	-0.977446	-0.977446
-0.364638	0	1	-0.364638	-0.364638
0.358114	0	1	0.358114	0.358114
-0.892138	0	1	-0.892138	-0.892138
-0.273384	0	1	-0.273384	-0.273384
-1.39796	0	1	-1.39796	-1.39796
-0.561934	0	1	-0.561934	-0.561934
-0.121393	0	1	-0.121393	-0.121393
-0.861092	0	1	-0.861092	-0.861092
-0.109821	0	1	-0.109821	-0.109821
0.533039	0	1	0.533039	0.533039
-0.441232	0	1	-0.441232	-0.441232
-0.919163	0	1	-0.919163	-0.919163
-0.229205	0	1	-0.229205	-0.229205
0.187435	0	1	0.187435	0.187435
0.329865	0	1	0.329865	0.329865
0.392867	0	1	0.392867	0.392867
-0.1865	0	1	-0.1865	-0.1865
-1.15527	0	1	-1.15527	-1.15527
-0.50149	0	1	-0.50149	-0.50149
-1.13441	0	1	-1.13441	-1.13441
-0.283123	0	1	-0.283123	-0.283123
-0.195495	0	1	-0.195495	-0.195495
-0.322283	0	1	-0.322283	-0.322283
0.667888	0	1	0.667888	0.667888
0.178609	0	1	0.178609	0.178609
2.46983	0	1	2.46983	2.46983
-0.431384	0	1	-0.431384	-0.431384
0.897457	0	1	0.897457	0.897457
-0.977223	0	1	-0.977223	-0.977223
0.544546	0	1	0.544546	0.544546
0.892301	0	1	0.892301	0.892301
-0.385394	0	1	-0.385394	-0.385394
0.17138	0	1	0.17138	0.17138
-0.483898	0	1	-0.483898	-0.483898
-1.39184	0	1	-1.39184	-1.39184
0.147375	0	1	0.147375	0.147375
0.0285002	0	1	0.0285002	0.0285002
-0.138689	0	1	-0.138689	-0.138689
0.475352	0	1	0.475352	0.475352
-0.965979	0	1	-0.965979	-0.965979
-1.42111	0	1	-1.42111	-1.42111
-0.563055	0	1	-0.563055	-0.563055
-1.03812	0	1	-1.03812	-1.03812
-0.716406	0	1	-0.716406	-0.716406
-0.407774	0	1	-0.407774	-0.407774
-0.274962	0	1	-0.274962	-0.274962
0.11211	0	1	0.11211	0.11211
0.233967	0	1	0.233967	0.233967
-0.292017	0	1	-0.292017	-0.292017
