Yt	Mt	Ht	Ut	Epst
0.133919	0	1	0.133919	0.133919
0.0993851	0.187486	1	-0.088101	-0.088101
1.72784	0.0534312	1	1.67441	1.67441
3.12115	2.38751	1	0.733641	0.733641
4.27167	3.27415	1	0.997525	0.997525
3.11518	4.39269	1	-1.2775	-1.2775
-0.192631	2.20408	1	-2.39672	-2.39672
-2.16538	-1.4861	1	-0.67928	-0.67928
-2.53515	-2.49606	1	-0.0390913	-0.0390913
-1.50039	-2.39394	1	0.893556	0.893556
-0.922905	-0.905258	1	-0.0176478	-0.0176478
-2.04825	-0.751693	1	-1.29656	-1.29656
-3.11156	-2.44357	1	-0.667981	-0.667981
-2.99612	-3.17783	1	0.181709	0.181709
-1.7934	-2.62445	1	0.831051	0.831051
-1.69992	-1.15167	1	-0.548248	-0.548248
-2.34142	-1.70339	1	-0.638032	-0.638032
-2.40124	-2.40833	1	0.00708853	0.00708853
-2.83818	-2.16833	1	-0.669854	-0.669854
-3.69374	-2.86598	1	-0.827762	-0.827762
-3.1365	-3.749	1	0.6125	0.6125
-2.90916	-2.54157	1	-0.367588	-0.367588
-3.02657	-2.73708	1	-0.289493	-0.289493
-3.76477	-2.84789	1	-0.916875	-0.916875
-4.41888	-3.83507	1	-0.583805	-0.583805
-4.23473	-4.29935	1	0.0646153	0.0646153
-3.74773	-3.79447	1	0.0467439	0.0467439
-4.06881	-3.31809	1	-0.750727	-0.750727
-4.14283	-3.99859	1	-0.144233	-0.144233
-2.33911	-3.81467	1	1.47556	1.47556
-1.56393	-1.35745	1	-0.206479	-0.206479
-1.66137	-1.40067	1	-0.260697	-0.260697
-1.7515	-1.61329	1	-0.138218	-0.138218
-4.21408	-1.67068	1	-2.5434	-2.5434
-4.51834	-5.09576	1	0.577419	0.577419
-3.99297	-3.95686	1	-0.0361099	-0.0361099
-3.84066	-3.61448	1	-0.226173	-0.226173
-2.8493	-3.5643	1	0.715002	0.715002
-0.635456	-2.21272	1	1.57727	1.57727
-0.130359	0.261915	1	-0.392274	-0.392274
0.965966	-0.216804	1	1.18277	1.18277
3.21948	1.42637	1	1.79311	1.79311
3.08252	3.81387	1	-0.731346	-0.731346
1.83178	2.46159	1	-0.629818	-0.629818
3.28946	1.21876	1	2.07069	2.07069
2.94358	3.84659	1	-0.903006	-0.903006
3.94884	2.21329	1	1.73555	1.73555
5.66976	4.28667	1	1.38309	1.38309
5.41502	5.79039	1	-0.375367	-0.375367
4.37858	4.68289	1	-0.30431	-0.30431
4.92113	3.66756	1	1.25357	1.25357
4.64153	4.91538	1	-0.273845	-0.273845
3.95525	4.00158	1	-0.0463294	-0.0463294
4.22943	3.43045	1	0.798982	0.798982
4.64711	4.10715	1	0.539956	0.539956
4.50318	4.41733	1	0.0858503	0.0858503
5.41877	4.06348	1	1.35529	1.35529
5.51085	5.497	1	0.0138509	0.0138509
5.73594	4.98458	1	0.751364	0.751364
3.91257	5.48748	1	-1.57491	-1.57491
2.47697	2.71435	1	-0.237378	-0.237378
2.29527	1.95878	1	0.336491	0.336491
2.0741	2.1537	1	-0.0795997	-0.0795997
1.27578	1.81665	1	-0.540872	-0.540872
-0.511934	0.8685	1	-1.38043	-1.38043
0.536546	-1.18001	1	1.71655	1.71655
1.68619	1.26808	1	0.418112	0.418112
3.37445	1.84949	1	1.52496	1.52496
4.56932	3.88284	1	0.686476	0.686476
3.99857	4.58712	1	-0.588556	-0.588556
4.69371	3.37696	1	1.31675	1.31675
4.01685	4.84984	1	-0.832984	-0.832984
4.03127	3.25731	1	0.77396	0.77396
3.15453	3.95804	1	-0.803515	-0.803515
2.37269	2.45813	1	-0.0854303	-0.0854303
3.53399	2.03779	1	1.4962	1.4962
4.30923	3.91147	1	0.397767	0.397767
7.51242	4.17399	1	3.33843	3.33843
10.2814	8.48044	1	1.80094	1.80094
12.12	10.3638	1	1.75628	1.75628
12.576	11.9085	1	0.667474	0.667474
10.6721	11.7222	1	-1.05017	-1.05017
9.37865	9.04928	1	0.329371	0.329371
8.89726	8.44217	1	0.455081	0.455081
5.79746	8.14447	1	-2.34701	-2.34701
3.38433	3.99823	1	-0.613899	-0.613899
0.389826	2.55163	1	-2.1618	-2.1618
-1.80671	-0.805365	1	-1.00134	-1.00134
-2.69704	-2.23477	1	-0.462268	-0.462268
-3.47966	-2.6621	1	-0.817561	-0.817561
-3.27151	-3.4559	1	0.184392	0.184392
-3.14595	-2.75104	1	-0.394917	-0.394917
-4.52184	-2.85228	1	-1.66956	-1.66956
-5.69282	-4.74767	1	-0.945148	-0.945148
-5.52118	-5.52475	1	0.00356999	0.00356999
-3.70881	-4.86455	1	1.15574	1.15574
-0.709363	-2.58679	1	1.87743	1.87743
0.666019	0.55382	1	0.112199	0.112199
1.12896	0.947742	1	0.181213	0.181213
2.54187	1.26357	1	1.2783	1.2783
3.60196	3.0309	1	0.571058	0.571058
3.19222	3.66313	1	-0.470908	-0.470908
3.18988	2.72652	1	0.463358	0.463358
5.04889	3.03157	1	2.01733	2.01733
7.69664	5.54693	1	2.1497	2.1497
7.71162	8.0827	1	-0.371083	-0.371083
6.19081	6.9351	1	-0.744291	-0.744291
3.97316	5.25389	1	-1.28072	-1.28072
1.47606	2.86472	1	-1.38866	-1.38866
0.12504	0.507508	1	-0.382469	-0.382469
1.25328	-0.228039	1	1.48132	1.48132
0.517392	1.84906	1	-1.33167	-1.33167
-1.05991	-0.0116238	1	-1.04828	-1.04828
-1.58863	-1.44486	1	-0.143772	-0.143772
-1.32235	-1.50321	1	0.180858	0.180858
1.27631	-1.05861	1	2.33492	2.33492
2.80331	2.45161	1	0.351699	0.351699
3.34932	2.97791	1	0.371411	0.371411
2.62069	3.3418	1	-0.721106	-0.721106
3.84832	2.12154	1	1.72678	1.72678
4.0067	4.3701	1	-0.363406	-0.363406
5.44505	3.54288	1	1.90217	1.90217
6.30527	5.89769	1	0.40758	0.40758
5.03117	6.03262	1	-1.00144	-1.00144
4.41287	4.12689	1	0.285986	0.285986
3.75703	4.09303	1	-0.335992	-0.335992
4.13838	3.2311	1	0.907279	0.907279
5.49791	4.1822	1	1.31571	1.31571
6.51877	5.72447	1	0.794294	0.794294
6.00988	6.40557	1	-0.395686	-0.395686
5.83106	5.25833	1	0.57273	0.57273
4.92022	5.55467	1	-0.634445	-0.634445
3.64099	4.17641	1	-0.535421	-0.535421
3.77455	3.0104	1	0.764155	0.764155
4.07321	3.88018	1	0.193035	0.193035
3.38995	3.84507	1	-0.455114	-0.455114
3.40891	2.91984	1	0.48907	0.48907
2.91053	3.37799	1	-0.467454	-0.467454
2.51151	2.47053	1	0.0409796	0.0409796
2.79069	2.28588	1	0.50481	0.50481
5.6946	2.86824	1	2.82636	2.82636
5.95886	6.62054	1	-0.661678	-0.661678
4.58731	5.23231	1	-0.644996	-0.644996
5.66106	3.89539	1	1.76568	1.76568
7.52746	6.01378	1	1.51368	1.51368
7.94609	7.60417	1	0.341917	0.341917
7.435	7.51313	1	-0.0781385	-0.0781385
6.4821	6.65828	1	-0.176174	-0.176174
3.29259	5.70831	1	-2.41573	-2.41573
0.807974	1.76917	1	-0.961192	-0.961192
0.113742	0.132721	1	-0.0189786	-0.0189786
-0.0288483	0.0126861	1	-0.0415345	-0.0415345
-0.095184	0.0388217	1	-0.134006	-0.134006
0.0828319	-0.0341171	1	0.116949	0.116949
0.923813	0.229303	1	0.69451	0.69451
0.628311	1.30203	1	-0.673723	-0.673723
0.346582	0.404384	1	-0.0578021	-0.0578021
0.165807	0.323933	1	-0.158126	-0.158126
0.1882	0.175367	1	0.0128326	0.0128326
1.61159	0.248378	1	1.36321	1.36321
0.941714	2.30216	1	-1.36045	-1.36045
1.34021	0.371131	1	0.969076	0.969076
0.646646	1.71144	1	-1.06479	-1.06479
0.802147	0.191676	1	0.610472	0.610472
1.40395	1.08245	1	0.321502	0.321502
1.88017	1.59672	1	0.28345	0.28345
2.60183	1.88753	1	0.714294	0.714294
2.56263	2.78874	1	-0.226119	-0.226119
2.44173	2.25572	1	0.186014	0.186014
3.31008	2.31807	1	0.992014	0.992014
3.11796	3.55866	1	-0.440694	-0.440694
1.95085	2.64561	1	-0.694761	-0.694761
0.143423	1.46462	1	-1.3212	-1.3212
0.379898	-0.568328	1	0.948226	0.948226
0.463124	0.803674	1	-0.34055	-0.34055
-0.599829	0.357192	1	-0.957021	-0.957021
0.248274	-1.01151	1	1.25979	1.25979
-0.81943	0.854031	1	-1.67346	-1.67346
-0.394367	-1.55804	1	1.16368	1.16368
0.187574	0.137544	1	0.0500304	0.0500304
0.643173	0.244627	1	0.398546	0.398546
3.04837	0.824526	1	2.22384	2.22384
5.40108	3.97212	1	1.42896	1.42896
5.52244	5.74383	1	-0.221386	-0.221386
4.45231	4.97097	1	-0.518659	-0.518659
2.41303	3.8304	1	-1.41736	-1.41736
0.64493	1.42889	1	-0.783959	-0.783959
0.0772678	0.157697	1	-0.0804288	-0.0804288
-0.833472	0.00825927	1	-0.841731	-0.841731
0.113179	-1.13302	1	1.2462	1.2462
0.552715	0.764547	1	-0.211832	-0.211832
0.0204388	0.531404	1	-0.510965	-0.510965
-0.914248	-0.137276	1	-0.776972	-0.776972
